District,rank,business,score,reason,Urban_Ratio,Literacy_Rate,Youth_Ratio
Garhwa,1,Solar / Renewable Energy Dealer,0.78,Rural areas with poor grid = solar panel & pump demand.,6.6,49.4,65.1
Garhwa,2,Dairy / Milk Distribution,0.57,Rural livestock households = raw milk supply chain opportunity.,6.6,49.4,65.1
Garhwa,3,Cold Storage / Agri Warehouse,0.49,Perishable farm produce + lack of storage = high-value gap.,6.6,49.4,65.1
Garhwa,4,Agri-Input / Kisan Store,0.48,"Dominant farming community = seeds, tools, fertilizer demand.",6.6,49.4,65.1
Garhwa,5,Ayurvedic / Herbal Wellness Center,0.39,Rural communities trust traditional medicine = steady clientele.,6.6,49.4,65.1
Chatra,1,Vocational Trade School,0.9,Large non-worker youth = demand for job-ready skill training.,6.7,48.9,66.4
Chatra,2,Solar / Renewable Energy Dealer,0.69,Rural areas with poor grid = solar panel & pump demand.,6.7,48.9,66.4
Chatra,3,Cold Storage / Agri Warehouse,0.68,Perishable farm produce + lack of storage = high-value gap.,6.7,48.9,66.4
Chatra,4,Agri-Input / Kisan Store,0.68,"Dominant farming community = seeds, tools, fertilizer demand.",6.7,48.9,66.4
Chatra,5,Cloud Kitchen / Tiffin Service,0.52,Working youth + mobiles = online food order demand.,6.7,48.9,66.4
Kodarma,1,Cloud Kitchen / Tiffin Service,0.87,Working youth + mobiles = online food order demand.,23.0,54.5,64.5
Kodarma,2,Micro-Finance / FinTech Kiosk,0.6,Mobile-literate rural households = digital banking gap.,23.0,54.5,64.5
Kodarma,3,Mobile Recharge / Electronics Shop,0.56,High mobile users + dense population = accessories & recharge demand.,23.0,54.5,64.5
Kodarma,4,Logistics / Delivery Hub,0.56,E-commerce boom + urban buyers = last-mile delivery gap.,23.0,54.5,64.5
Kodarma,5,Restaurant / Dhaba,0.47,Urban + disposable income = dining out culture.,23.0,54.5,64.5
Giridih,1,Mobile Recharge / Electronics Shop,1.28,High mobile users + dense population = accessories & recharge demand.,9.4,51.3,65.3
Giridih,2,Tea Stall / Chai Franchise,0.77,High footfall + labour = scalable low-investment chai business.,9.4,51.3,65.3
Giridih,3,Cloud Kitchen / Tiffin Service,0.7,Working youth + mobiles = online food order demand.,9.4,51.3,65.3
Giridih,4,Dairy / Milk Distribution,0.68,Rural livestock households = raw milk supply chain opportunity.,9.4,51.3,65.3
Giridih,5,Stationery / Printing Shop,0.65,Student-dense areas = constant stationery & printing demand.,9.4,51.3,65.3
Deoghar,1,Tea Stall / Chai Franchise,0.31,High footfall + labour = scalable low-investment chai business.,20.0,53.2,63.3
Deoghar,2,Mobile Recharge / Electronics Shop,0.3,High mobile users + dense population = accessories & recharge demand.,20.0,53.2,63.3
Deoghar,3,Vocational Trade School,0.27,Large non-worker youth = demand for job-ready skill training.,20.0,53.2,63.3
Deoghar,4,Cloud Kitchen / Tiffin Service,0.24,Working youth + mobiles = online food order demand.,20.0,53.2,63.3
Deoghar,5,Micro-Finance / FinTech Kiosk,0.15,Mobile-literate rural households = digital banking gap.,20.0,53.2,63.3
Godda,1,Solar / Renewable Energy Dealer,0.79,Rural areas with poor grid = solar panel & pump demand.,5.3,46.0,62.5
Godda,2,Dairy / Milk Distribution,0.69,Rural livestock households = raw milk supply chain opportunity.,5.3,46.0,62.5
Godda,3,Agri-Input / Kisan Store,0.68,"Dominant farming community = seeds, tools, fertilizer demand.",5.3,46.0,62.5
Godda,4,Cold Storage / Agri Warehouse,0.68,Perishable farm produce + lack of storage = high-value gap.,5.3,46.0,62.5
Godda,5,Ayurvedic / Herbal Wellness Center,0.64,Rural communities trust traditional medicine = steady clientele.,5.3,46.0,62.5
Sahibganj,1,Vocational Trade School,0.14,Large non-worker youth = demand for job-ready skill training.,14.4,42.0,64.8
Sahibganj,2,Solar / Renewable Energy Dealer,0.13,Rural areas with poor grid = solar panel & pump demand.,14.4,42.0,64.8
Sahibganj,3,Dairy / Milk Distribution,0.05,Rural livestock households = raw milk supply chain opportunity.,14.4,42.0,64.8
Sahibganj,4,Cold Storage / Agri Warehouse,0.02,Perishable farm produce + lack of storage = high-value gap.,14.4,42.0,64.8
Sahibganj,5,Agri-Input / Kisan Store,-0.01,"Dominant farming community = seeds, tools, fertilizer demand.",14.4,42.0,64.8
Pakur,1,Solar / Renewable Energy Dealer,0.42,Rural areas with poor grid = solar panel & pump demand.,7.6,39.2,65.3
