District,Area,Area_Type,Primary_Recommendation,Primary_Reason,Rank2_Business,Rank3_Business
Ranchi,Piska More,rural,Digital Skill / IT Training,Graduates + internet access = IT training gap to fill. (Zone: Rural),Diagnostic / Pathology Lab,Pharmacy / Medical Store
Ranchi,Lalpur,rural,Digital Skill / IT Training,Graduates + internet access = IT training gap to fill. (Zone: Rural),Diagnostic / Pathology Lab,Pharmacy / Medical Store
Ranchi,Kanke,industrial,Digital Skill / IT Training,Graduates + internet access = IT training gap to fill. (Zone: Industrial),Diagnostic / Pathology Lab,Pharmacy / Medical Store
Ranchi,Doranda,industrial,Digital Skill / IT Training,Graduates + internet access = IT training gap to fill. (Zone: Industrial),Diagnostic / Pathology Lab,Pharmacy / Medical Store
Ranchi,Hinoo,residential,Pharmacy / Medical Store,Dense + aging population = high medicine demand. (Zone: Residential),Diagnostic / Pathology Lab,Digital Skill / IT Training
Ranchi,Ratu,residential,Pharmacy / Medical Store,Dense + aging population = high medicine demand. (Zone: Residential),Diagnostic / Pathology Lab,Digital Skill / IT Training
Ranchi,Namkum,student,Digital Skill / IT Training,Graduates + internet access = IT training gap to fill. (Zone: Student),Diagnostic / Pathology Lab,Pharmacy / Medical Store
Ranchi,Bariatu,student,Digital Skill / IT Training,Graduates + internet access = IT training gap to fill. (Zone: Student),Diagnostic / Pathology Lab,Pharmacy / Medical Store
Ranchi,Dhurwa,commercial,Real Estate / Rental Agency,Urban growth + income = property rental & buying demand. (Zone: Commercial),Pharmacy / Medical Store,Digital Skill / IT Training
Dhanbad,Jharia,industrial,Logistics / Delivery Hub,E-commerce boom + urban buyers = last-mile delivery gap. (Zone: Industrial),Real Estate / Rental Agency,Mental Health / Counseling Clinic
Dhanbad,Saraidhela,industrial,Logistics / Delivery Hub,E-commerce boom + urban buyers = last-mile delivery gap. (Zone: Industrial),Real Estate / Rental Agency,Mental Health / Counseling Clinic
Dhanbad,Sindri,residential,Pharmacy / Medical Store,Dense + aging population = high medicine demand. (Zone: Residential),Real Estate / Rental Agency,Mental Health / Counseling Clinic
Dhanbad,Katras,residential,Pharmacy / Medical Store,Dense + aging population = high medicine demand. (Zone: Residential),Real Estate / Rental Agency,Mental Health / Counseling Clinic
Dhanbad,Govindpur,commercial,Restaurant / Dhaba,Urban + disposable income = dining out culture. (Zone: Commercial),Logistics / Delivery Hub,Real Estate / Rental Agency
Dhanbad,Nirsa,commercial,Restaurant / Dhaba,Urban + disposable income = dining out culture. (Zone: Commercial),Logistics / Delivery Hub,Real Estate / Rental Agency
Dhanbad,Chirkunda,rural,Real Estate / Rental Agency,Urban growth + income = property rental & buying demand. (Zone: Rural),Mental Health / Counseling Clinic,Logistics / Delivery Hub
Bokaro,Sector 4,industrial,Logistics / Delivery Hub,E-commerce boom + urban buyers = last-mile delivery gap. (Zone: Industrial),Digital Skill / IT Training,Real Estate / Rental Agency
Bokaro,Chas,industrial,Logistics / Delivery Hub,E-commerce boom + urban buyers = last-mile delivery gap. (Zone: Industrial),Digital Skill / IT Training,Real Estate / Rental Agency
